Data;Stawka;Obrót
2008-02-28;0,0438;4640
2008-02-29;0,056;4376
2008-03-03;0,0561;4063
2008-03-04;0,0561;2560
2008-03-05;0,0562;3650
2008-03-06;0,0561;3200
2008-03-07;0,056;3775
2008-03-10;0,056;3015
2008-03-11;0,056;2040
2008-03-12;0,0563;2921
2008-03-13;0,0563;2534
2008-03-14;0,056;2673
2008-03-17;0,0562;2149
2008-03-18;0,056;4312
2008-03-19;0,0562;2057
2008-03-20;0,0562;2845
2008-03-21;0,0551;2361
2008-03-25;0,0565;2159
2008-03-26;0,0577;4536
2008-03-27;0,059;2124
2008-03-28;0,0548;4556
2008-03-31;0,0589;2825
2008-04-01;0,0593;2852
2008-04-02;0,0593;2676
2008-04-03;0,0594;3289
2008-04-04;0,059;3982
2008-04-07;0,059;3505
2008-04-08;0,0589;3950
2008-04-09;0,0581;4130
2008-04-10;0,0583;2547
2008-04-11;0,0583;2752
2008-04-14;0,0588;1573
2008-04-15;0,0593;1538,5
2008-04-16;0,0594;2960
2008-04-17;0,0594;3591
2008-04-18;0,0585;3055
2008-04-21;0,0581;3315
2008-04-22;0,0584;2284
2008-04-23;0,0578;2487
2008-04-24;0,058;3292
2008-04-25;0,0597;4275
2008-04-28;0,0695;2680
2008-04-29;0,072;2885
2008-04-30;0,0607;3847
2008-05-02;0,0599;2994
2008-05-05;0,0605;2878
2008-05-06;0,0602;2325
2008-05-07;0,0606;1862
2008-05-08;0,0597;1530
2008-05-09;0,0581;3656
2008-05-12;0,0567;4785
2008-05-13;0,0554;5237
2008-05-14;0,0557;4376
2008-05-15;0,0561;3712
2008-05-16;0,0579;5358
2008-05-19;0,0588;3634
2008-05-20;0,0589;3204
2008-05-21;0,0583;2909
2008-05-23;0,0576;3504
2008-05-26;0,057;3917
2008-05-27;0,0553;3682
2008-05-28;0,0555;6087
2008-05-29;0,0502;4921
2008-05-30;0,0447;4594
2008-06-02;0,0593;3010
2008-06-03;0,0592;3765
2008-06-04;0,0587;5580
2008-06-05;0,0585;2283
2008-06-06;0,0579;3613
2008-06-09;0,0579;2904
2008-06-10;0,0583;3439
2008-06-11;0,0583;2240
2008-06-12;0,0584;4393
2008-06-13;0,0576;7051
2008-06-16;0,0575;4242
2008-06-17;0,0569;3221
2008-06-18;0,0574;4367
2008-06-19;0,0563;4510
2008-06-20;0,0594;1590
2008-06-23;0,0595;2580
2008-06-24;0,0586;5479
2008-06-25;0,0574;5470
2008-06-26;0,0602;4369
2008-06-27;0,0529;5409
2008-06-30;0,0608;1896
2008-07-01;0,0599;8267
2008-07-02;0,0589;5392
2008-07-03;0,0584;7231
2008-07-04;0,0594;3586
2008-07-07;0,0587;5090
2008-07-08;0,0574;4040
2008-07-09;0,0549;5783
2008-07-10;0,0562;4425
2008-07-11;0,0601;4493
2008-07-14;0,06;3433
2008-07-15;0,0603;4096
2008-07-16;0,0606;3989
2008-07-17;0,0611;4102
2008-07-18;0,0574;7183
2008-07-21;0,0537;5780
2008-07-22;0,0567;3278
2008-07-23;0,0574;2785
2008-07-24;0,0578;4536
2008-07-25;0,0545;4939
2008-07-28;0,0588;4255
2008-07-29;0,0561;5053
2008-07-30;0,0471;2330
2008-07-31;0,0607;3290
2008-08-01;0,0603;5840
2008-08-04;0,0603;4257
2008-08-05;0,0604;1800
2008-08-06;0,0604;2317
2008-08-07;0,0606;2943
2008-08-08;0,0609;2325
2008-08-11;0,0607;2530
2008-08-12;0,0606;3590
2008-08-13;0,0602;3892
2008-08-14;0,0606;1970
2008-08-18;0,0627;3275
2008-08-19;0,0642;3343
2008-08-20;0,0623;4335
2008-08-21;0,061;3305
2008-08-22;0,0605;4300
2008-08-25;0,0605;4966
2008-08-26;0,0607;2630
2008-08-27;0,0608;1030
2008-08-28;0,0607;1953
2008-08-29;0,0516;2820
2008-09-01;0,0601;3780
2008-09-02;0,0601;2870
2008-09-03;0,0601;3980
2008-09-04;0,0603;3261
2008-09-05;0,0607;2521
2008-09-08;0,061;3915
2008-09-09;0,0608;2713
2008-09-10;0,0606;3769
2008-09-11;0,0605;3240
2008-09-12;0,0602;3570
2008-09-15;0,061;1811
2008-09-16;0,0627;3458
2008-09-17;0,0628;3735
2008-09-18;0,0613;3050
2008-09-19;0,0545;4252
2008-09-22;0,0486;4820
2008-09-23;0,0456;4193
2008-09-24;0,0453;1170
2008-09-25;0,045;1425
2008-09-26;0,0485;2560
2008-09-29;0,0486;1708
2008-09-30;0,0653;2740
